,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
IFI44L,0.008734676,0.076978803,0.025546908,-1.591312569,0.194328204,0.845918903,TRUE,FALSE
MT1G,0.008801058,0.298804961,0.409535907,0.454785847,3.482341311,0.00049705,TRUE,FALSE
PREPL,0.008813853,0.195143463,0.146040778,-0.41816387,-2.395079581,0.016616758,TRUE,FALSE
ITGB8,0.008847011,0.236163857,0.338945106,0.52126345,5.398528025,6.72E-08,TRUE,TRUE
HVCN1,0.008847011,0.024640848,0.05626124,1.191089409,3.932906783,8.39E-05,TRUE,TRUE
RPL15,0.00885172,0.133356968,0.08505491,-0.648826788,-3.644052748,0.000268378,TRUE,TRUE
ARHGAP24,0.00885172,1.114482158,1.005143684,-0.148971773,-2.659475231,0.007826248,FALSE,FALSE
RBFOX2,0.00885172,0.514669868,0.433170699,-0.248711662,-3.397532881,0.000679964,FALSE,FALSE
RPS6KB1,0.008910242,0.06652545,0.040127184,-0.729326465,-3.075177651,0.002103772,TRUE,FALSE
COLGALT2,0.008915587,0.068599757,0.126923792,0.887687161,4.725272206,2.30E-06,TRUE,TRUE
RPL30,0.008915587,0.06988291,0.121907155,0.802771207,4.622412309,3.79E-06,TRUE,TRUE
LDHB,0.008984982,0.26131102,0.20559019,-0.345996541,-2.247879475,0.024583876,TRUE,FALSE
BRWD3,0.009091251,0.102673208,0.068251409,-0.589129028,-2.562039263,0.010405955,TRUE,FALSE
INTU,0.009154582,0.520084474,0.44200058,-0.23469771,-2.339741528,0.01929709,FALSE,FALSE
AKAP12,0.009383948,0.257851154,0.20463667,-0.333473808,-2.534814137,0.0112507,TRUE,FALSE
KAT8,0.009383948,0.031188464,0.073561774,1.237943774,4.453224604,8.46E-06,TRUE,TRUE
FAM107A,0.009568295,0.575651639,0.748985241,0.379741276,2.386527185,0.01700835,TRUE,FALSE
ZNF718,0.009568295,0.089220683,0.060307055,-0.565051399,-2.092575756,0.036387043,TRUE,FALSE
MMD2,0.009568295,0.520895546,0.459354737,-0.181385395,-1.810544338,0.070211415,FALSE,FALSE
TCF7L2,0.009568295,0.966263561,0.855435214,-0.175758159,-2.810076056,0.004952979,FALSE,FALSE
SYNM,0.009568295,0.032486655,0.066246665,1.028000621,4.61956784,3.85E-06,TRUE,TRUE
NPM1,0.009655907,0.045386622,0.025931565,-0.807557816,-2.855133995,0.004301867,TRUE,FALSE
TBC1D31,0.009681048,0.076429492,0.047142686,-0.697095488,-2.863007739,0.004196403,TRUE,FALSE
CBFA2T2,0.009681048,0.4395229,0.372123218,-0.240157924,-2.639404294,0.008305187,FALSE,FALSE
BCAS3,0.00972546,0.815370643,0.719417219,-0.180627324,-3.103083888,0.001915153,FALSE,FALSE
EIF1B,0.009773736,0.061674755,0.030094285,-1.035190541,-3.146453718,0.001652634,TRUE,FALSE
ARHGEF12,0.009828215,0.672443475,0.605264277,-0.151847796,-1.802003302,0.071544886,FALSE,FALSE
KIAA0368,0.009947275,0.224095895,0.176340489,-0.345752455,-3.263153837,0.001101797,TRUE,FALSE
VPS8,0.010093955,0.215059936,0.168254018,-0.354097835,-2.554323315,0.010639441,FALSE,FALSE
SLC39A12,0.010093955,0.464774432,0.629422422,0.437497866,4.039350254,5.36E-05,FALSE,FALSE
ARGLU1,0.010093955,0.446153977,0.376256597,-0.245824823,-2.519291737,0.011759118,FALSE,FALSE
PPP3CC,0.010237678,0.256005641,0.21085906,-0.279896594,-1.406242677,0.159652075,FALSE,FALSE
SLC14A1,0.010237678,1.086730909,0.922717016,-0.236034586,-2.734226602,0.0062527,FALSE,FALSE
FAM171A1,0.010337517,0.567075411,0.710881805,0.326069109,3.856366113,0.000115085,FALSE,FALSE
EPHA6,0.010349944,0.68457061,0.599099009,-0.192404909,-1.567350861,0.117032703,FALSE,FALSE
ATP11B,0.011032908,0.111160786,0.079096116,-0.490969182,-2.860058565,0.004235628,FALSE,FALSE
TMED8,0.011175551,0.173146735,0.126352899,-0.454536416,-3.340726962,0.000835594,FALSE,FALSE
CHST12,0.011194265,0.141893434,0.107479892,-0.400741045,-2.761398143,0.005755447,FALSE,FALSE
